LB1.CP--++1.N.-1.1-1.2-5	veritatem(QL)	meditabitur(QL)	guttur(QL)	meum(QL)	,	et(QL)	labia(QL)	mea(QL)	detestabuntur(QL)	impium(QL)	.	
LB1.CP--++1.N.-1.3-1.3-2	prov.(QR)	8-7(QR)	.	
LB1.CP--++1.N.-2.1-1.5-1	multitudinis(QS)	usus(QS)	,	quem(QS)	in(QS)	rebus(QS)	nominandis(QS)	sequendum(QS)	philosophus(QR)	censet(QR)	,	communiter	obtinuit	ut	sapientes	dicantur	qui	res	directe	ordinant	et	eas	bene	gubernant	.	
LB1.CP--++1.N.-2.5-2.7-4	unde	inter	alia	quae	homines	de	sapiente	concipiunt	,	a(QR)	philosopho(QR)	ponitur(QR)	quod(QR)	sapientis(QL)	est(QL)	ordinare(QL)	.	
LB1.CP--++1.N.-3.1-1.7-1	quia	vero	praedicti	artifices	,	singularium	quarundam	rerum	fines	pertractantes	,	ad	finem	universalem	omnium	non	pertingunt	,	dicuntur	quidem	sapientes	huius	vel	illius	rei	,	secundum(QR)	quem(QR)	modum(QR)	dicitur(QR)	1	cor.(QR)	3-10(QR)	,	ut(QL)	sapiens(QL)	architectus(QL)	,	fundamentum(QL)	posui(QL)	;	
LB1.CP--++1.N.-3.11-2.12-5	unde(QR)	secundum(QR)	philosophum(QR)	,	sapientis(QS)	est(QS)	causas(QS)	altissimas(QS)	considerare(QS)	.	
LB1.CP--++1.N.-4.10-1.12-5	et	ideo	ad	veritatis	manifestationem	divina	sapientia	carne	induta	se	venisse	in	mundum	testatur	,	dicens(QR)	,	ioan.(QR)	18-37(QR)	:	
LB1.CP--++1.N.-4.13-1.14-4	ego(QL)	in(QL)	hoc(QL)	natus(QL)	sum(QL)	,	et(QL)	ad(QL)	hoc(QL)	veni(QL)	in(QL)	mundum(QL)	,	ut(QL)	testimonium(QL)	perhibeam(QL)	veritati(QL)	.	
LB1.CP--++1.N.-5.1-1.2-4	sed(QS)	et(QS)	primam(QS)	philosophiam(QS)	philosophus(QR)	determinat(QR)	esse(QS)	scientiam(QS)	veritatis(QS)	;	
LB1.CP--++1.N.-7.1-1.3-3	convenienter(QR)	ergo(QR)	ex(QR)	ore(QR)	sapientiae(QR)	duplex(QR)	sapientis(QR)	officium(QR)	in(QR)	verbis(QR)	propositis(QR)	demonstratur(QR)	:	
LB1.CP--++1.N.-7.3-4.6-5	scilicet(QS)	veritatem(QS)	divinam(QS)	,	quae(QS)	antonomastice(QS)	est(QS)	veritas(QS)	,	meditatam(QS)	eloqui(QS)	,	quod(QR)	tangit(QR)	cum(QR)	dicit(QR)	,	veritatem(QL)	meditabitur(QL)	guttur(QL)	meum(QL)	;	
